Country,Total Cases
USA,81725896
India,43024302
Brazil,29916334
France,25445532
UK,21073009
Germany,20970297
Russia,17823648
Turkey,14846224
Italy,14567990
South Korea,12774956
Spain,11508309
Vietnam,9472254
Argentina,9035127
Netherlands,7833842
Iran,7159733
Japan,6452108
Colombia,6084551
Indonesia,6009486
Poland,5957940
Mexico,5654311
Ukraine,4961717
Australia,4453962
Malaysia,4183359
Israel,3904305
Czechia,3808101
Belgium,3807447
Austria,3805155
South Africa,3717067
Philippines,3677924
Thailand,3600787
Peru,3545628
Portugal,3534003
Canada,3472237
Switzerland,3468373
Chile,3464425
Greece,3009333
Denmark,2908215
Romania,2850598
Sweden,2481736
Iraq,2319209
Serbia,1974652
Bangladesh,1951504
Hungary,1849217
Slovakia,1703550
Jordan,1689314
Georgia,1647796
Pakistan,1524549
Ireland,1454182
Norway,1404207
Kazakhstan,1305114
Morocco,1163214
Hong Kong,1150769
Bulgaria,1137780
Croatia,1097409
Lebanon,1091777
Singapore,1090823
Cuba,1089452
Tunisia,1035884
Lithuania,1021961
Nepal,978402
Slovenia,965295
Belarus,961389
Bolivia,901752
UAE,890987
Uruguay,887028
Finland,874135
Ecuador,859890
Costa Rica,837828
Guatemala,827596
Latvia,796890
Azerbaijan,791876
Panama,763933
Saudi Arabia,750707
Sri Lanka,661453
Paraguay,647950
New Zealand,643875
Kuwait,628978
Myanmar,611448
Palestine,581075
Dominican Republic,578020
Estonia,555140
Bahrain,553750
Venezuela,520304
Moldova,513146
Egypt,505264
Libya,501657
Ethiopia,469704
Mongolia,468223
Cyprus,426377
Armenia,422498
Honduras,421013
Oman,388279
Bosnia and Herzegovina,375332
Qatar,361283
Réunion,336945
Kenya,323402
Zambia,316550
North Macedonia,305717
Botswana,305526
Albania,273608
Algeria,265662
Nigeria,255415
Zimbabwe,246182
Uzbekistan,237710
Montenegro,233010
Mozambique,225249
Luxembourg,214099
Kyrgyzstan,200923
Iceland,180950
Afghanistan,177716
Maldives,176993
Laos,174136
Uganda,163892
El Salvador,161052
Ghana,160925
Namibia,157622
China,147437
Martinique,141415
Trinidad and Tobago,137757
Cambodia,135585
Brunei ,133726
Guadeloupe,130705
Rwanda,129718
Jamaica,128735
Cameroon,119544
Angola,99138
DRC,86748
Senegal,85886
Malawi,85631
Ivory Coast,81722
Suriname,79188
Malta,78779
French Guiana,78649
French Polynesia,72195
Eswatini,69723
Channel Islands,68613
Fiji,64404
Madagascar,64009
Guyana,63246
Sudan,61929
New Caledonia,60266
Barbados,59080
Mauritania,58668
Belize,57277
Cabo Verde,55950
Syria,55688
Gabon,47584
Papua New Guinea,42203
Seychelles,40421
Curaçao,40217
Andorra,40024
Burundi,38482
Togo,36930
Mayotte,36745
Guinea,36459
Mauritius,36327
Faeroe Islands,34237
Aruba,33929
Tanzania,33815
Bahamas,33258
Lesotho,32899
Haiti,30545
Mali,30480
Isle of Man,28229
Bhutan,26963
Benin,26952
Somalia,26400
Congo,24069
Taiwan,23155
Saint Lucia,22953
Timor-Leste,22830
Burkina Faso,20853
Cayman Islands,20606
Nicaragua,18434
Tajikistan,17388
South Sudan,17237
Gibraltar,16854
Liechtenstein,16286
Equatorial Guinea,15903
Djibouti,15585
San Marino,15181
CAR,14649
Grenada,13998
Bermuda,12456
Gambia,11988
Greenland,11971
Yemen,11805
Dominica,11787
Solomon Islands,11174
Monaco,10721
Saint Martin,9912
Eritrea,9724
Sint Maarten,9715
Niger,8801
Caribbean Netherlands,8515
Guinea-Bissau,8140
Comoros,8086
Sierra Leone,7674
Antigua and Barbuda,7491
Liberia,7400
Chad,7308
St. Vincent Grenadines,6746
Tonga,6423
British Virgin Islands,6141
Sao Tome and Principe,5945
Turks and Caicos,5910
Saint Kitts and Nevis,5549
Palau,4024
St. Barth,3780
Vanuatu,3128
Kiribati,3065
Anguilla,2700
Saint Pierre Miquelon,1781
Cook Islands,1745
Samoa,1713
Diamond Princess,712
Wallis and Futuna,454
Montserrat,175
Falkland Islands,119
Macao,82
Vatican City,29
Western Sahara,10
MS Zaandam,9
Marshall Islands,7
Niue,7
Saint Helena,2
Micronesia,1
Total:,486663761